	GRAPH DATA			METHODS									
bench-300-7	300	4346	0,097	3,30E-05	74	9,10E+07	3,17E-05	51	9,10E+07	6,99E-05	100	9,10E+07	10
bench-400-2	400	8030	0,100	0	75	9,10E+07	0	90	9,10E+07	0	76	9,10E+07	10
bench-400-6	400	8967	0,112	1,50E-05	78	9,09E+07	1,05E-06	98	9,09E+07	0	151	9,09E+07	10
bench-400-10	400	8747	0,109	1,07E-05	208	9,09E+07	8,04E-06	113	9,09E+07	1,80E-05	256	9,09E+07	10
bench-400-11	400	8488	0,106	0	102	9,09E+07	5,61E-07	77	9,09E+07	9,22E-05	60	9,10E+07	10
bench-400-12	400	8619	0,108	2,21E-05	80	9,10E+07	3,14E-05	94	9,10E+07	7,98E-06	206	9,10E+07	10
ff-n-100-1	100	1608	0,322	0	3	9,07E+07	0	2	9,07E+07	0	28	9,07E+07	10
ff-n-100-2	100	770	0,154	0	2	9,08E+07	0	2	9,08E+07	0	18	9,08E+07	10
ff-n-100-3	100	977	0,195	0	2	9,08E+07	0	1	9,08E+07	0	1	9,08E+07	10
ff-n-100-4	100	1250	0,250	0	1	9,07E+07	0	1	9,07E+07	0	5	9,07E+07	10
ff-n-100-5	100	1240	0,248	0	1	9,07E+07	0	1	9,07E+07	0	1	9,07E+07	10
ff-n-200-1	200	7174	0,359	0	23	9,07E+07	0,000114725	7819	9,07E+07	0,000114725	7818	9,07E+07	10
ff-n-200-2	200	4264	0,213	0	30	9,09E+07	0	48	9,09E+07	0	882	9,09E+07	10
ff-n-200-3	200	4278	0,214	0	15	9,09E+07	0	13	9,09E+07	0	9	9,09E+07	10
ff-n-200-4	200	6410	0,321	0	15	9,08E+07	0	17	9,08E+07	0	51	9,08E+07	10
ff-n-200-5	200	5309	0,265	0	37	9,09E+07	0,000180445	7816	9,09E+07	0,000189323	7817	9,09E+07	10
ff-n-300-1	300	14143	0,314	0	124	9,09E+07	0,000161035	7820	9,09E+07	0,000128577	7819	9,09E+07	10
ff-n-300-2	300	11943	0,265	0	38	9,09E+07	0	139	9,09E+07	4,55E-05	2105	9,09E+07	10
ff-n-300-3	300	10710	0,238	0	164	9,09E+07	0	247	9,09E+07	0,000116858	7833	9,09E+07	10
ff-n-300-4	300	13881	0,308	0	122	9,09E+07	0	246	9,09E+07	5,83E-05	1124	9,09E+07	10
ff-n-300-5	300	12381	0,275	0	72	9,09E+07	0	55	9,09E+07	0	47	9,09E+07	10
ff-n-400-1	400	22453	0,281	0	2314	9,11E+07	0,00062393	7833	9,12E+07	-1	7881	Nosol	10
ff-n-400-2	400	24034	0,300	0	147	9,09E+07	0	258	9,09E+07	9,81E-05	132	9,09E+07	10
ff-n-400-3	400	21709	0,271	0	256	9,09E+07	0	1669	9,09E+07	-1	7868	Nosol	10
ff-n-400-4	400	25398	0,317	0	214	9,09E+07	0	244	9,09E+07	0	518	9,09E+07	10
ff-n-400-5	400	23164	0,290	0	188	9,09E+07	0	315	9,09E+07	0	943	9,09E+07	10
pmed1	100	200	0,040	0	278	91292900	0	224	91292900	0	312	91292900	10
pmed7	200	800	0,040	0,000111488	7814	91449000	0,000141691	7816	91450500	0,000347687	7822	91453700	10
pmed21	500	5000	0,040	0,000848605	7817	91786200	0,00031818	7816	91743900	0,000341259	7818	91745400	10
